event_id,scenario_id,category,source,event_time,event_name,raw_json
BN-03-s0-0,BN-03,benign,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
BN-03-s0-1,BN-03,benign,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
BN-03-s0-2,BN-03,benign,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
BN-03-s0-3,BN-03,benign,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
BN-03-s0-4,BN-03,benign,CloudTrail,2026-01-01T00:00:28+00:00,ListBuckets,"{""eventName"": ""ListBuckets"", ""userIdentity"": ""backup-job""}"
BN-03-s0-5,BN-03,benign,VPC,2026-01-01T00:00:35+00:00,ACCEPT,"{""action"": ""ACCEPT"", ""bytes"": 5000, ""dstaddr"": ""10.0.0.9"", ""dstport"": 443, ""protocol"": ""tcp"", ""srcaddr"": ""10.0.0.3""}"
BN-04-s0-0,BN-04,benign,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
BN-04-s0-1,BN-04,benign,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
BN-04-s0-2,BN-04,benign,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
BN-04-s0-3,BN-04,benign,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
BN-04-s0-4,BN-04,benign,CloudTrail,2026-01-01T00:00:28+00:00,ListBuckets,"{""eventName"": ""ListBuckets"", ""userIdentity"": ""backup-job""}"
BN-04-s0-5,BN-04,benign,VPC,2026-01-01T00:00:35+00:00,ACCEPT,"{""action"": ""ACCEPT"", ""bytes"": 5000, ""dstaddr"": ""10.0.0.9"", ""dstport"": 443, ""protocol"": ""tcp"", ""srcaddr"": ""10.0.0.3""}"
BN-05-s0-0,BN-05,benign,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
BN-05-s0-1,BN-05,benign,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
BN-05-s0-2,BN-05,benign,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
BN-05-s0-3,BN-05,benign,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
BN-05-s0-4,BN-05,benign,CloudTrail,2026-01-01T00:00:28+00:00,ListBuckets,"{""eventName"": ""ListBuckets"", ""userIdentity"": ""backup-job""}"
BN-05-s0-5,BN-05,benign,VPC,2026-01-01T00:00:35+00:00,ACCEPT,"{""action"": ""ACCEPT"", ""bytes"": 5000, ""dstaddr"": ""10.0.0.9"", ""dstport"": 443, ""protocol"": ""tcp"", ""srcaddr"": ""10.0.0.3""}"
BN-06-s0-0,BN-06,benign,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
BN-06-s0-1,BN-06,benign,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
BN-06-s0-2,BN-06,benign,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
BN-06-s0-3,BN-06,benign,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
BN-06-s0-4,BN-06,benign,CloudTrail,2026-01-01T00:00:28+00:00,ListBuckets,"{""eventName"": ""ListBuckets"", ""userIdentity"": ""backup-job""}"
BN-06-s0-5,BN-06,benign,VPC,2026-01-01T00:00:35+00:00,ACCEPT,"{""action"": ""ACCEPT"", ""bytes"": 5000, ""dstaddr"": ""10.0.0.9"", ""dstport"": 443, ""protocol"": ""tcp"", ""srcaddr"": ""10.0.0.3""}"
BN-07-s0-0,BN-07,benign,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
BN-07-s0-1,BN-07,benign,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
BN-07-s0-2,BN-07,benign,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
BN-07-s0-3,BN-07,benign,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
BN-07-s0-4,BN-07,benign,CloudTrail,2026-01-01T00:00:28+00:00,ListBuckets,"{""eventName"": ""ListBuckets"", ""userIdentity"": ""backup-job""}"
BN-07-s0-5,BN-07,benign,VPC,2026-01-01T00:00:35+00:00,ACCEPT,"{""action"": ""ACCEPT"", ""bytes"": 5000, ""dstaddr"": ""10.0.0.9"", ""dstport"": 443, ""protocol"": ""tcp"", ""srcaddr"": ""10.0.0.3""}"
BN-08-s0-0,BN-08,benign,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
BN-08-s0-1,BN-08,benign,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
BN-08-s0-2,BN-08,benign,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
BN-08-s0-3,BN-08,benign,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
BN-08-s0-4,BN-08,benign,CloudTrail,2026-01-01T00:00:28+00:00,ListBuckets,"{""eventName"": ""ListBuckets"", ""userIdentity"": ""backup-job""}"
BN-08-s0-5,BN-08,benign,VPC,2026-01-01T00:00:35+00:00,ACCEPT,"{""action"": ""ACCEPT"", ""bytes"": 5000, ""dstaddr"": ""10.0.0.9"", ""dstport"": 443, ""protocol"": ""tcp"", ""srcaddr"": ""10.0.0.3""}"
BN-09-s0-0,BN-09,benign,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
BN-09-s0-1,BN-09,benign,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
BN-09-s0-2,BN-09,benign,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
BN-09-s0-3,BN-09,benign,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
BN-09-s0-4,BN-09,benign,CloudTrail,2026-01-01T00:00:28+00:00,ListBuckets,"{""eventName"": ""ListBuckets"", ""userIdentity"": ""backup-job""}"
BN-09-s0-5,BN-09,benign,VPC,2026-01-01T00:00:35+00:00,ACCEPT,"{""action"": ""ACCEPT"", ""bytes"": 5000, ""dstaddr"": ""10.0.0.9"", ""dstport"": 443, ""protocol"": ""tcp"", ""srcaddr"": ""10.0.0.3""}"
BN-10-s0-0,BN-10,benign,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
BN-10-s0-1,BN-10,benign,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
BN-10-s0-2,BN-10,benign,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
BN-10-s0-3,BN-10,benign,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
BN-10-s0-4,BN-10,benign,CloudTrail,2026-01-01T00:00:28+00:00,ListBuckets,"{""eventName"": ""ListBuckets"", ""userIdentity"": ""backup-job""}"
BN-10-s0-5,BN-10,benign,VPC,2026-01-01T00:00:35+00:00,ACCEPT,"{""action"": ""ACCEPT"", ""bytes"": 5000, ""dstaddr"": ""10.0.0.9"", ""dstport"": 443, ""protocol"": ""tcp"", ""srcaddr"": ""10.0.0.3""}"
EP-01-s0-0,EP-01,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
EP-01-s1-0,EP-01,ephemeral,EC2,2026-01-01T00:00:00+00:00,RunInstances,"{""eventName"": ""RunInstances"", ""instanceType"": ""p3.2xlarge"", ""state"": ""running""}"
EP-01-s0-1,EP-01,ephemeral,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
EP-01-s0-2,EP-01,ephemeral,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
EP-01-s0-3,EP-01,ephemeral,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
EP-02-s0-0,EP-02,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
EP-02-s1-0,EP-02,ephemeral,VPC,2026-01-01T00:00:00+00:00,ACCEPT,"{""action"": ""ACCEPT"", ""bytes"": 250000000, ""dstaddr"": ""198.51.100.9"", ""dstport"": 443, ""packets"": 180000, ""protocol"": ""tcp"", ""srcaddr"": ""10.0.0.7""}"
EP-02-s0-1,EP-02,ephemeral,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
EP-02-s0-2,EP-02,ephemeral,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
EP-02-s0-3,EP-02,ephemeral,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
EP-03-s0-0,EP-03,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
EP-03-s1-0,EP-03,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,AssumeRole,"{""eventName"": ""AssumeRole"", ""roleArn"": ""arn:aws:iam::role/elevated""}"
EP-03-s0-1,EP-03,ephemeral,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
EP-03-s0-2,EP-03,ephemeral,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
EP-03-s0-3,EP-03,ephemeral,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
EP-04-s0-0,EP-04,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
EP-04-s1-0,EP-04,ephemeral,EC2,2026-01-01T00:00:00+00:00,RunInstances,"{""eventName"": ""RunInstances"", ""instanceType"": ""p3.2xlarge"", ""state"": ""running""}"
EP-04-s0-1,EP-04,ephemeral,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
EP-04-s0-2,EP-04,ephemeral,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
EP-04-s0-3,EP-04,ephemeral,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
EP-05-s0-0,EP-05,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
EP-05-s1-0,EP-05,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,ListBuckets,"{""eventName"": ""ListBuckets""}"
EP-05-s1-1,EP-05,ephemeral,CloudTrail,2026-01-01T00:00:01+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances""}"
EP-05-s0-1,EP-05,ephemeral,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
EP-05-s0-2,EP-05,ephemeral,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
EP-05-s0-3,EP-05,ephemeral,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
EP-06-s0-0,EP-06,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
EP-06-s1-0,EP-06,ephemeral,VPC,2026-01-01T00:00:00+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 20, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-1,EP-06,ephemeral,VPC,2026-01-01T00:00:01+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 21, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-2,EP-06,ephemeral,VPC,2026-01-01T00:00:02+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 22, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-3,EP-06,ephemeral,VPC,2026-01-01T00:00:03+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 23, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-4,EP-06,ephemeral,VPC,2026-01-01T00:00:04+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 24, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-5,EP-06,ephemeral,VPC,2026-01-01T00:00:05+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 25, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-6,EP-06,ephemeral,VPC,2026-01-01T00:00:06+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 26, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s0-1,EP-06,ephemeral,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
EP-06-s1-7,EP-06,ephemeral,VPC,2026-01-01T00:00:07+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 27, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-8,EP-06,ephemeral,VPC,2026-01-01T00:00:08+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 28, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-9,EP-06,ephemeral,VPC,2026-01-01T00:00:09+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 29, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-10,EP-06,ephemeral,VPC,2026-01-01T00:00:10+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 30, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-11,EP-06,ephemeral,VPC,2026-01-01T00:00:11+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 31, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-12,EP-06,ephemeral,VPC,2026-01-01T00:00:12+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 32, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-13,EP-06,ephemeral,VPC,2026-01-01T00:00:13+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 33, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s0-2,EP-06,ephemeral,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
EP-06-s1-14,EP-06,ephemeral,VPC,2026-01-01T00:00:14+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 34, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-15,EP-06,ephemeral,VPC,2026-01-01T00:00:15+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 35, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-16,EP-06,ephemeral,VPC,2026-01-01T00:00:16+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 36, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-17,EP-06,ephemeral,VPC,2026-01-01T00:00:17+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 37, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-18,EP-06,ephemeral,VPC,2026-01-01T00:00:18+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 38, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-19,EP-06,ephemeral,VPC,2026-01-01T00:00:19+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 39, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-20,EP-06,ephemeral,VPC,2026-01-01T00:00:20+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 40, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s0-3,EP-06,ephemeral,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
EP-06-s1-21,EP-06,ephemeral,VPC,2026-01-01T00:00:21+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 41, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-22,EP-06,ephemeral,VPC,2026-01-01T00:00:22+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 42, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-23,EP-06,ephemeral,VPC,2026-01-01T00:00:23+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 43, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-06-s1-24,EP-06,ephemeral,VPC,2026-01-01T00:00:24+00:00,REJECT,"{""action"": ""REJECT"", ""bytes"": 0, ""dstaddr"": ""10.0.0.20"", ""dstport"": 44, ""protocol"": ""tcp"", ""srcaddr"": ""203.0.113.5""}"
EP-07-s0-0,EP-07,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
EP-07-s1-0,EP-07,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,GetSecretValue,"{""eventName"": ""GetSecretValue"", ""secretId"": ""prod/db/password""}"
EP-07-s0-1,EP-07,ephemeral,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
EP-07-s0-2,EP-07,ephemeral,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
EP-07-s0-3,EP-07,ephemeral,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
EP-08-s0-0,EP-08,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
EP-08-s1-0,EP-08,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,RunInstances,"{""eventName"": ""RunInstances"", ""instanceType"": ""c5.large"", ""region"": ""us-west-2""}"
EP-08-s0-1,EP-08,ephemeral,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
EP-08-s0-2,EP-08,ephemeral,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
EP-08-s0-3,EP-08,ephemeral,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
EP-09-s0-0,EP-09,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
EP-09-s1-0,EP-09,ephemeral,CloudTrail,2026-01-01T00:00:00+00:00,CreateAccessKey,"{""eventName"": ""CreateAccessKey"", ""targetUser"": ""victim-user""}"
EP-09-s0-1,EP-09,ephemeral,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
