event_id,scenario_id,is_attack_event,stage_id,ttp_id
EP-03-s0-2,EP-03,0,,
EP-03-s0-3,EP-03,0,,
EP-03-s1-0,EP-03,1,1,T1548.005
EP-04-s0-0,EP-04,0,,
EP-04-s0-1,EP-04,0,,
EP-04-s0-2,EP-04,0,,
EP-04-s0-3,EP-04,0,,
EP-04-s1-0,EP-04,1,1,T1496
EP-05-s0-0,EP-05,0,,
EP-05-s0-1,EP-05,0,,
EP-05-s0-2,EP-05,0,,
EP-05-s0-3,EP-05,0,,
EP-05-s1-0,EP-05,1,1,T1526
EP-05-s1-1,EP-05,1,1,T1526
EP-06-s0-0,EP-06,0,,
EP-06-s0-1,EP-06,0,,
EP-06-s0-2,EP-06,0,,
EP-06-s0-3,EP-06,0,,
EP-06-s1-0,EP-06,1,1,T1046
EP-06-s1-1,EP-06,1,1,T1046
EP-06-s1-10,EP-06,1,1,T1046
EP-06-s1-11,EP-06,1,1,T1046
EP-06-s1-12,EP-06,1,1,T1046
EP-06-s1-13,EP-06,1,1,T1046
EP-06-s1-14,EP-06,1,1,T1046
EP-06-s1-15,EP-06,1,1,T1046
EP-06-s1-16,EP-06,1,1,T1046
EP-06-s1-17,EP-06,1,1,T1046
EP-06-s1-18,EP-06,1,1,T1046
EP-06-s1-19,EP-06,1,1,T1046
EP-06-s1-2,EP-06,1,1,T1046
EP-06-s1-20,EP-06,1,1,T1046
EP-06-s1-21,EP-06,1,1,T1046
EP-06-s1-22,EP-06,1,1,T1046
EP-06-s1-23,EP-06,1,1,T1046
EP-06-s1-24,EP-06,1,1,T1046
EP-06-s1-3,EP-06,1,1,T1046
EP-06-s1-4,EP-06,1,1,T1046
EP-06-s1-5,EP-06,1,1,T1046
EP-06-s1-6,EP-06,1,1,T1046
EP-06-s1-7,EP-06,1,1,T1046
EP-06-s1-8,EP-06,1,1,T1046
EP-06-s1-9,EP-06,1,1,T1046
EP-07-s0-0,EP-07,0,,
EP-07-s0-1,EP-07,0,,
EP-07-s0-2,EP-07,0,,
EP-07-s0-3,EP-07,0,,
EP-07-s1-0,EP-07,1,1,T1528
EP-08-s0-0,EP-08,0,,
EP-08-s0-1,EP-08,0,,
EP-08-s0-2,EP-08,0,,
EP-08-s0-3,EP-08,0,,
EP-08-s1-0,EP-08,1,1,T1578
EP-09-s0-0,EP-09,0,,
EP-09-s0-1,EP-09,0,,
EP-09-s0-2,EP-09,0,,
EP-09-s0-3,EP-09,0,,
EP-09-s1-0,EP-09,1,1,T1098.001
EP-10-s0-0,EP-10,0,,
EP-10-s0-1,EP-10,0,,
EP-10-s0-2,EP-10,0,,
EP-10-s0-3,EP-10,0,,
EP-10-s1-0,EP-10,1,1,T1571
EP-10-s1-1,EP-10,1,1,T1571
EP-10-s1-2,EP-10,1,1,T1571
EP-10-s1-3,EP-10,1,1,T1571
KC-01-s0-0,KC-01,0,,
KC-01-s0-1,KC-01,0,,
KC-01-s0-2,KC-01,0,,
KC-01-s0-3,KC-01,0,,
KC-01-s1-0,KC-01,1,1,T1078.004
KC-01-s2-0,KC-01,1,2,T1098.001
KC-01-s3-0,KC-01,1,3,T1530
KC-01-s3-1,KC-01,1,3,T1530
KC-01-s3-2,KC-01,1,3,T1530
KC-01-s3-3,KC-01,1,3,T1530
KC-01-s3-4,KC-01,1,3,T1530
KC-01-s3-5,KC-01,1,3,T1530
KC-01-s4-0,KC-01,1,4,T1537
KC-02-s0-0,KC-02,0,,
KC-02-s0-1,KC-02,0,,
KC-02-s0-2,KC-02,0,,
KC-02-s0-3,KC-02,0,,
KC-02-s1-0,KC-02,1,1,T1552.005
KC-02-s2-0,KC-02,1,2,T1580
KC-02-s2-1,KC-02,1,2,T1580
KC-02-s3-0,KC-02,1,3,T1530
KC-02-s3-1,KC-02,1,3,T1530
KC-02-s3-2,KC-02,1,3,T1530
KC-02-s3-3,KC-02,1,3,T1530
KC-02-s3-4,KC-02,1,3,T1530
KC-02-s3-5,KC-02,1,3,T1530
KC-02-s4-0,KC-02,1,4,T1537
KC-03-s0-0,KC-03,0,,
KC-03-s0-1,KC-03,0,,
KC-03-s0-2,KC-03,0,,
KC-03-s0-3,KC-03,0,,
KC-03-s1-0,KC-03,1,1,T1078.004
KC-03-s2-0,KC-03,1,2,T1548.005
KC-03-s3-0,KC-03,1,3,T1098.001
KC-03-s4-0,KC-03,1,4,T1562.008
KC-04-s0-0,KC-04,0,,
KC-04-s0-1,KC-04,0,,
KC-04-s0-2,KC-04,0,,
KC-04-s0-3,KC-04,0,,
KC-04-s1-0,KC-04,1,1,T1078.004
KC-04-s2-0,KC-04,1,2,T1526
KC-04-s2-1,KC-04,1,2,T1526
KC-04-s3-0,KC-04,1,3,T1548.005
KC-04-s4-0,KC-04,1,4,T1537
KC-05-s0-0,KC-05,0,,
KC-05-s0-1,KC-05,0,,
KC-05-s0-2,KC-05,0,,
KC-05-s0-3,KC-05,0,,
KC-05-s1-0,KC-05,1,1,T1078.004
KC-05-s2-0,KC-05,1,2,T1528
KC-05-s3-0,KC-05,1,3,T1580
KC-05-s3-1,KC-05,1,3,T1580
KC-05-s4-0,KC-05,1,4,T1537
KC-06-s0-0,KC-06,0,,
KC-06-s0-1,KC-06,0,,
KC-06-s0-2,KC-06,0,,
KC-06-s0-3,KC-06,0,,
KC-06-s1-0,KC-06,1,1,T1098
KC-06-s1-1,KC-06,1,1,T1098
KC-06-s2-0,KC-06,1,2,T1530
KC-06-s2-1,KC-06,1,2,T1530
KC-06-s2-2,KC-06,1,2,T1530
KC-06-s2-3,KC-06,1,2,T1530
KC-06-s2-4,KC-06,1,2,T1530
KC-06-s2-5,KC-06,1,2,T1530
KC-06-s3-0,KC-06,1,3,T1537
KC-07-s0-0,KC-07,0,,
KC-07-s0-1,KC-07,0,,
KC-07-s0-2,KC-07,0,,
KC-07-s0-3,KC-07,0,,
KC-07-s1-0,KC-07,1,1,T1552.005
KC-07-s2-0,KC-07,1,2,T1578
KC-07-s3-0,KC-07,1,3,T1496
KC-08-s0-0,KC-08,0,,
KC-08-s0-1,KC-08,0,,
KC-08-s0-2,KC-08,0,,
KC-08-s0-3,KC-08,0,,
KC-08-s1-0,KC-08,1,1,T1110
KC-08-s1-1,KC-08,1,1,T1110
KC-08-s1-2,KC-08,1,1,T1110
KC-08-s1-3,KC-08,1,1,T1110
KC-08-s1-4,KC-08,1,1,T1110
KC-08-s1-5,KC-08,1,1,T1110
KC-08-s2-0,KC-08,1,2,T1078.004
KC-08-s3-0,KC-08,1,3,T1562.008
KC-08-s4-0,KC-08,1,4,T1485
KC-08-s4-1,KC-08,1,4,T1485
KC-08-s4-2,KC-08,1,4,T1485
KC-08-s4-3,KC-08,1,4,T1485
KC-08-s4-4,KC-08,1,4,T1485
KC-08-s4-5,KC-08,1,4,T1485
KC-08-s4-6,KC-08,1,4,T1485
KC-08-s4-7,KC-08,1,4,T1485
KC-09-s0-0,KC-09,0,,
KC-09-s0-1,KC-09,0,,
KC-09-s0-2,KC-09,0,,
KC-09-s0-3,KC-09,0,,
KC-09-s1-0,KC-09,1,1,T1078.004
KC-09-s2-0,KC-09,1,2,T1190
KC-09-s3-0,KC-09,1,3,T1530
KC-09-s3-1,KC-09,1,3,T1530
KC-09-s3-2,KC-09,1,3,T1530
KC-09-s3-3,KC-09,1,3,T1530
KC-09-s3-4,KC-09,1,3,T1530
KC-09-s3-5,KC-09,1,3,T1530
KC-09-s4-0,KC-09,1,4,T1537
KC-10-s0-0,KC-10,0,,
KC-10-s0-1,KC-10,0,,
KC-10-s0-2,KC-10,0,,
KC-10-s0-3,KC-10,0,,
KC-10-s1-0,KC-10,1,1,T1580
KC-10-s1-1,KC-10,1,1,T1580
KC-10-s2-0,KC-10,1,2,T1530
KC-10-s2-1,KC-10,1,2,T1530
KC-10-s2-2,KC-10,1,2,T1530
KC-10-s2-3,KC-10,1,2,T1530
KC-10-s2-4,KC-10,1,2,T1530
KC-10-s2-5,KC-10,1,2,T1530
KC-10-s3-0,KC-10,1,3,T1537
KC-11-s0-0,KC-11,0,,
KC-11-s0-1,KC-11,0,,
KC-11-s0-2,KC-11,0,,
KC-11-s0-3,KC-11,0,,
KC-11-s1-0,KC-11,1,1,T1548.005
KC-11-s2-0,KC-11,1,2,T1528
KC-11-s3-0,KC-11,1,3,T1537
KC-12-s0-0,KC-12,0,,
KC-12-s0-1,KC-12,0,,
KC-12-s0-2,KC-12,0,,
KC-12-s0-3,KC-12,0,,
KC-12-s1-0,KC-12,1,1,T1098.001
KC-12-s2-0,KC-12,1,2,T1548.005
KC-12-s3-0,KC-12,1,3,T1496
KC-13-s0-0,KC-13,0,,
KC-13-s0-1,KC-13,0,,
KC-13-s0-2,KC-13,0,,
KC-13-s0-3,KC-13,0,,
KC-13-s1-0,KC-13,1,1,T1098
KC-13-s1-1,KC-13,1,1,T1098
KC-13-s2-0,KC-13,1,2,T1528
KC-13-s3-0,KC-13,1,3,T1530
KC-13-s3-1,KC-13,1,3,T1530
KC-13-s3-2,KC-13,1,3,T1530
KC-13-s3-3,KC-13,1,3,T1530
KC-13-s3-4,KC-13,1,3,T1530
KC-13-s3-5,KC-13,1,3,T1530
KC-13-s4-0,KC-13,1,4,T1537
KC-14-s0-0,KC-14,0,,
KC-14-s0-1,KC-14,0,,
KC-14-s0-2,KC-14,0,,
KC-14-s0-3,KC-14,0,,
KC-14-s1-0,KC-14,1,1,T1578
KC-14-s2-0,KC-14,1,2,T1537
KC-15-s0-0,KC-15,0,,
KC-15-s0-1,KC-15,0,,
KC-15-s0-2,KC-15,0,,
KC-15-s0-3,KC-15,0,,
KC-15-s1-0,KC-15,1,1,T1078.004
KC-15-s2-0,KC-15,1,2,T1098.001
KC-15-s3-0,KC-15,1,3,T1562.008
KC-15-s4-0,KC-15,1,4,T1485
KC-15-s4-1,KC-15,1,4,T1485
KC-15-s4-2,KC-15,1,4,T1485
KC-15-s4-3,KC-15,1,4,T1485
KC-15-s4-4,KC-15,1,4,T1485
KC-15-s4-5,KC-15,1,4,T1485
KC-15-s4-6,KC-15,1,4,T1485
KC-15-s4-7,KC-15,1,4,T1485
LS-01-s0-0,LS-01,0,,
LS-01-s0-1,LS-01,0,,
LS-01-s0-2,LS-01,0,,
LS-01-s0-3,LS-01,0,,
LS-01-s1-0,LS-01,1,1,T1098
LS-01-s1-1,LS-01,1,1,T1098
LS-02-s0-0,LS-02,0,,
LS-02-s0-1,LS-02,0,,
LS-02-s0-2,LS-02,0,,
LS-02-s0-3,LS-02,0,,
LS-02-s1-0,LS-02,1,1,T1530
LS-02-s1-1,LS-02,1,1,T1530
LS-02-s1-2,LS-02,1,1,T1530
LS-02-s1-3,LS-02,1,1,T1530
LS-02-s1-4,LS-02,1,1,T1530
LS-02-s1-5,LS-02,1,1,T1530
LS-02-s2-0,LS-02,1,2,T1537
LS-03-s0-0,LS-03,0,,
LS-03-s0-1,LS-03,0,,
LS-03-s0-2,LS-03,0,,
LS-03-s0-3,LS-03,0,,
LS-03-s1-0,LS-03,1,1,T1571
LS-03-s1-1,LS-03,1,1,T1571
LS-03-s1-2,LS-03,1,1,T1571
LS-03-s1-3,LS-03,1,1,T1571
LS-04-s0-0,LS-04,0,,
LS-04-s0-1,LS-04,0,,
LS-04-s0-2,LS-04,0,,
LS-04-s0-3,LS-04,0,,
LS-04-s1-0,LS-04,1,1,T1526
LS-04-s1-1,LS-04,1,1,T1526
LS-05-s0-0,LS-05,0,,
LS-05-s0-1,LS-05,0,,
LS-05-s0-2,LS-05,0,,
LS-05-s0-3,LS-05,0,,
LS-05-s1-0,LS-05,1,1,T1098.001
LS-06-s0-0,LS-06,0,,
LS-06-s0-1,LS-06,0,,
LS-06-s0-2,LS-06,0,,
LS-06-s0-3,LS-06,0,,
LS-06-s1-0,LS-06,1,1,T1537
LS-07-s0-0,LS-07,0,,
LS-07-s0-1,LS-07,0,,
LS-07-s0-2,LS-07,0,,
LS-07-s0-3,LS-07,0,,
LS-07-s1-0,LS-07,1,1,T1552.005
LS-08-s0-0,LS-08,0,,
LS-08-s0-1,LS-08,0,,
LS-08-s0-2,LS-08,0,,
LS-08-s0-3,LS-08,0,,
LS-08-s1-0,LS-08,1,1,T1190
LS-09-s0-0,LS-09,0,,
LS-09-s0-1,LS-09,0,,
LS-09-s0-2,LS-09,0,,
LS-09-s0-3,LS-09,0,,
LS-09-s1-0,LS-09,1,1,T1110
LS-09-s1-1,LS-09,1,1,T1110
LS-09-s1-2,LS-09,1,1,T1110
LS-09-s1-3,LS-09,1,1,T1110
LS-09-s1-4,LS-09,1,1,T1110
LS-09-s1-5,LS-09,1,1,T1110
LS-10-s0-0,LS-10,0,,
LS-10-s0-1,LS-10,0,,
LS-10-s0-2,LS-10,0,,
LS-10-s0-3,LS-10,0,,
LS-10-s1-0,LS-10,1,1,T1578
LS-11-s0-0,LS-11,0,,
LS-11-s0-1,LS-11,0,,
LS-11-s0-2,LS-11,0,,
LS-11-s0-3,LS-11,0,,
LS-11-s1-0,LS-11,1,1,T1528
LS-12-s0-0,LS-12,0,,
LS-12-s0-1,LS-12,0,,
LS-12-s0-2,LS-12,0,,
LS-12-s0-3,LS-12,0,,
LS-12-s1-0,LS-12,1,1,T1562.008
SD-01-s0-0,SD-01,0,,
SD-01-s0-1,SD-01,0,,
SD-01-s0-2,SD-01,0,,
SD-01-s0-3,SD-01,0,,
SD-01-s1-0,SD-01,1,1,T1530
SD-01-s1-1,SD-01,1,1,T1530
SD-01-s1-2,SD-01,1,1,T1530
SD-01-s1-3,SD-01,1,1,T1530
SD-01-s1-4,SD-01,1,1,T1530
SD-01-s1-5,SD-01,1,1,T1530
SD-02-s0-0,SD-02,0,,
SD-02-s0-1,SD-02,0,,
SD-02-s0-2,SD-02,0,,
SD-02-s0-3,SD-02,0,,
SD-02-s1-0,SD-02,1,1,T1190
SD-03-s0-0,SD-03,0,,
SD-03-s0-1,SD-03,0,,
SD-03-s0-2,SD-03,0,,
SD-03-s0-3,SD-03,0,,
SD-03-s1-0,SD-03,1,1,T1485
SD-03-s1-1,SD-03,1,1,T1485
SD-03-s1-2,SD-03,1,1,T1485
SD-03-s1-3,SD-03,1,1,T1485
SD-03-s1-4,SD-03,1,1,T1485
SD-03-s1-5,SD-03,1,1,T1485
SD-03-s1-6,SD-03,1,1,T1485
SD-03-s1-7,SD-03,1,1,T1485
SD-04-s0-0,SD-04,0,,
SD-04-s0-1,SD-04,0,,
SD-04-s0-2,SD-04,0,,
SD-04-s0-3,SD-04,0,,
SD-04-s1-0,SD-04,1,1,T1578
SD-05-s0-0,SD-05,0,,
SD-05-s0-1,SD-05,0,,
SD-05-s0-2,SD-05,0,,
SD-05-s0-3,SD-05,0,,
SD-05-s1-0,SD-05,1,1,T1552.005
SD-06-s0-0,SD-06,0,,
SD-06-s0-1,SD-06,0,,
SD-06-s0-2,SD-06,0,,
SD-06-s0-3,SD-06,0,,
SD-06-s1-0,SD-06,1,1,T1046
SD-06-s1-1,SD-06,1,1,T1046
SD-06-s1-10,SD-06,1,1,T1046
SD-06-s1-11,SD-06,1,1,T1046
SD-06-s1-12,SD-06,1,1,T1046
SD-06-s1-13,SD-06,1,1,T1046
SD-06-s1-14,SD-06,1,1,T1046
SD-06-s1-15,SD-06,1,1,T1046
SD-06-s1-16,SD-06,1,1,T1046
SD-06-s1-17,SD-06,1,1,T1046
SD-06-s1-18,SD-06,1,1,T1046
SD-06-s1-19,SD-06,1,1,T1046
SD-06-s1-2,SD-06,1,1,T1046
SD-06-s1-20,SD-06,1,1,T1046
SD-06-s1-21,SD-06,1,1,T1046
SD-06-s1-22,SD-06,1,1,T1046
SD-06-s1-23,SD-06,1,1,T1046
SD-06-s1-24,SD-06,1,1,T1046
SD-06-s1-3,SD-06,1,1,T1046
SD-06-s1-4,SD-06,1,1,T1046
SD-06-s1-5,SD-06,1,1,T1046
SD-06-s1-6,SD-06,1,1,T1046
SD-06-s1-7,SD-06,1,1,T1046
SD-06-s1-8,SD-06,1,1,T1046
SD-06-s1-9,SD-06,1,1,T1046
SD-07-s0-0,SD-07,0,,
SD-07-s0-1,SD-07,0,,
SD-07-s0-2,SD-07,0,,
SD-07-s0-3,SD-07,0,,
SD-07-s1-0,SD-07,1,1,T1110
SD-07-s1-1,SD-07,1,1,T1110
SD-07-s1-2,SD-07,1,1,T1110
SD-07-s1-3,SD-07,1,1,T1110
SD-07-s1-4,SD-07,1,1,T1110
SD-07-s1-5,SD-07,1,1,T1110
SD-08-s0-0,SD-08,0,,
SD-08-s0-1,SD-08,0,,
SD-08-s0-2,SD-08,0,,
SD-08-s0-3,SD-08,0,,
SD-08-s1-0,SD-08,1,1,T1530
SD-09-s0-0,SD-09,0,,
SD-09-s0-1,SD-09,0,,
SD-09-s0-2,SD-09,0,,
SD-09-s0-3,SD-09,0,,
SD-09-s1-0,SD-09,1,1,T1562.008
SD-10-s0-0,SD-10,0,,
SD-10-s0-1,SD-10,0,,
SD-10-s0-2,SD-10,0,,
SD-10-s0-3,SD-10,0,,
SD-10-s1-0,SD-10,1,1,T1526
SD-10-s1-1,SD-10,1,1,T1526
SD-11-s0-0,SD-11,0,,
SD-11-s0-1,SD-11,0,,
SD-11-s0-2,SD-11,0,,
SD-11-s0-3,SD-11,0,,
SD-11-s1-0,SD-11,1,1,T1571
SD-11-s1-1,SD-11,1,1,T1571
SD-11-s1-2,SD-11,1,1,T1571
SD-11-s1-3,SD-11,1,1,T1571
SD-12-s0-0,SD-12,0,,
SD-12-s0-1,SD-12,0,,
SD-12-s0-2,SD-12,0,,
SD-12-s0-3,SD-12,0,,
SD-12-s1-0,SD-12,1,1,T1528
